Country,State,Year,"Profit Or Loss Amount (UOM:INR(IndianRupees)), Scaling Factor:100000","Non Performing Assets (Npas) As Percentage Of Loans Outstanding (UOM:%(Percentage)), Scaling Factor:1","Recovery To Demand  (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",746,25.8,63.4
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",18980,0.5,97.9
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",-2057,39.9,15.8
India,Assam,"Financial Year (Apr - Mar), 2023",1401,9.2,66.1
India,Bihar,"Financial Year (Apr - Mar), 2023",6764,3.1,17.3
India,Chandigarh,"Financial Year (Apr - Mar), 2023",1174,2.4,83.9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",3683,2,97.2
India,Delhi,"Financial Year (Apr - Mar), 2023",2123,0.7,98.1
India,Goa,"Financial Year (Apr - Mar), 2023",482,4.2,91.7
India,Gujarat,"Financial Year (Apr - Mar), 2023",10692,0.7,96.1
India,Haryana,"Financial Year (Apr - Mar), 2023",6185,,100
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023",11876,3.9,71.9
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",-1456.430895,55.5,63
India,Jharkhand,"Financial Year (Apr - Mar), 2023",6669,9.4,55
India,Karnataka,"Financial Year (Apr - Mar), 2023",6500,4.6,97.6
India,Kerala,"Financial Year (Apr - Mar), 2023",24781,11.2,73.3
India,Ladakh,"Financial Year (Apr - Mar), 2023",-32.56910539,55.5,63
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023",11154,5.1,86
India,Maharashtra,"Financial Year (Apr - Mar), 2023",68688,9.2,73.9
India,Manipur,"Financial Year (Apr - Mar), 2023",401,18.1,64.6
India,Meghalaya,"Financial Year (Apr - Mar), 2023",1670,8,31.4
India,Mizoram,"Financial Year (Apr - Mar), 2023",4246,2.5,84.8
India,Nagaland,"Financial Year (Apr - Mar), 2023",858,14.2,59.7
India,Odisha,"Financial Year (Apr - Mar), 2023",21589,1.1,98.7
India,Puducherry,"Financial Year (Apr - Mar), 2023",60,11.6,71.6
India,Punjab,"Financial Year (Apr - Mar), 2023",3561,0.9,98.4
India,Rajasthan,"Financial Year (Apr - Mar), 2023",7621,0.2,99.8
India,Sikkim,"Financial Year (Apr - Mar), 2023",834,3.5,59.5
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023",12129,2.9,99.4
India,Telangana,"Financial Year (Apr - Mar), 2023",6540,0.1,98.8
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",970,4.4,68.1
India,Tripura,"Financial Year (Apr - Mar), 2023",2795,7.6,93.7
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",7287,3.1,98.1
India,Uttarakhand,"Financial Year (Apr - Mar), 2023",1549,4.1,97.6
India,West Bengal,"Financial Year (Apr - Mar), 2023",18682,4.8,89.2
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",608,34.9,67.9
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",18265,0.6,99.7
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2022",-4990,50.1,26.1
India,Assam,"Financial Year (Apr - Mar), 2022",1220,9.6,63.2
India,Bihar,"Financial Year (Apr - Mar), 2022",7616,2.3,64.1
